district,crop,season,year,avg_percent,payout
Thane,Pomegranate,Kharif,2022,0,0
Thane,Pomegranate,Kharif,2023,9.72,12642.5
Thane,Pomegranate,Rabi,2020,0,0
Thane,Pomegranate,Rabi,2021,0,0
Thane,Pomegranate,Rabi,2022,0,0
Thane,Pomegranate,Rabi,2023,0,0
Thane,Mango,Kharif,2020,0,0
Thane,Mango,Kharif,2021,0,0
Thane,Mango,Kharif,2022,0,0
Thane,Mango,Kharif,2023,0,0
Thane,Mango,Rabi,2020,19.12,26775
Thane,Mango,Rabi,2021,10,14000
Thane,Mango,Rabi,2022,18.35,25690
Thane,Mango,Rabi,2023,0,0
Washim,Pomegranate,Kharif,2020,0,0
Washim,Pomegranate,Kharif,2021,10,13000
Washim,Pomegranate,Kharif,2022,10,13000
Washim,Pomegranate,Kharif,2023,38.98,50667.5
Washim,Pomegranate,Rabi,2020,0,0
Washim,Pomegranate,Rabi,2021,0,0
Washim,Pomegranate,Rabi,2022,0,0
Washim,Pomegranate,Rabi,2023,0,0
Washim,Mango,Kharif,2020,0,0
Washim,Mango,Kharif,2021,0,0
Washim,Mango,Kharif,2022,0,0
Washim,Mango,Kharif,2023,0,0
Washim,Mango,Rabi,2020,48.27,67585
Washim,Mango,Rabi,2021,39.55,55370
Washim,Mango,Rabi,2022,55.9,78260
Washim,Mango,Rabi,2023,51.78,72485
